review,symbol_puntuation_removal,case_folding,tokenized,normalized,stopwords_removed,stemmed,final_text
Kamar nya bauk bantal airy nya bauk banyak nyamuk dkamar mandi ada lipan nya makanan nya boleh lah tapi meja selalu kotor kalo mau breakfast..  kurang pegawai kyknya.. ,Kamar nya bauk bantal airy nya bauk banyak nyamuk dkamar mandi ada lipan nya makanan nya boleh lah tapi meja selalu kotor kalo mau breakfast kurang pegawai kyknya,kamar nya bauk bantal airy nya bauk banyak nyamuk dkamar mandi ada lipan nya makanan nya boleh lah tapi meja selalu kotor kalo mau breakfast kurang pegawai kyknya,"['kamar', 'nya', 'bauk', 'bantal', 'airy', 'nya', 'bauk', 'banyak', 'nyamuk', 'dkamar', 'mandi', 'ada', 'lipan', 'nya', 'makanan', 'nya', 'boleh', 'lah', 'tapi', 'meja', 'selalu', 'kotor', 'kalo', 'mau', 'breakfast', 'kurang', 'pegawai', 'kyknya']","['kamar', 'nya', 'bauk', 'bantal', 'airy', 'nya', 'bauk', 'banyak', 'nyamuk', 'dkamar', 'mandi', 'ada', 'lipan', 'nya', 'makanan', 'nya', 'boleh', 'lah', 'tapi', 'meja', 'selalu', 'kotor', 'kalo', 'mau', 'breakfast', 'kurang', 'pegawai', 'kyknya']","['kamar', 'nya', 'bauk', 'bantal', 'airy', 'nya', 'bauk', 'nyamuk', 'dkamar', 'mandi', 'lipan', 'nya', 'makanan', 'nya', 'meja', 'kotor', 'kalo', 'breakfast', 'pegawai', 'kyknya']","['kamar', 'nya', 'bauk', 'bantal', 'airy', 'nya', 'bauk', 'nyamuk', 'dkamar', 'mandi', 'lipan', 'nya', 'makan', 'nya', 'meja', 'kotor', 'kalo', 'breakfast', 'pegawai', 'kyknya']",kamar nya bauk bantal airy nya bauk nyamuk dkamar mandi lipan nya makan nya meja kotor kalo breakfast pegawai kyknya
"Keran mandi airnya gak ngalir, keran wastafel airnya gak deras, bed sangat kecil uk. 90 cm. Masuk kamar di lantai 2  sinyal hilang total.",Keran mandi airnya gak ngalir keran wastafel airnya gak deras bed sangat kecil uk cm Masuk kamar di lantai sinyal hilang total,keran mandi airnya gak ngalir keran wastafel airnya gak deras bed sangat kecil uk cm masuk kamar di lantai sinyal hilang total,"['keran', 'mandi', 'airnya', 'gak', 'ngalir', 'keran', 'wastafel', 'airnya', 'gak', 'deras', 'bed', 'sangat', 'kecil', 'uk', 'cm', 'masuk', 'kamar', 'di', 'lantai', 'sinyal', 'hilang', 'total']","['keran', 'mandi', 'airnya', 'tidak', 'ngalir', 'keran', 'wastafel', 'airnya', 'tidak', 'deras', 'bed', 'sangat', 'kecil', 'uk', 'cm', 'masuk', 'kamar', 'di', 'lantai', 'sinyal', 'hilang', 'total']","['keran', 'mandi', 'airnya', 'ngalir', 'keran', 'wastafel', 'airnya', 'deras', 'bed', 'uk', 'cm', 'masuk', 'kamar', 'lantai', 'sinyal', 'hilang', 'total']","['keran', 'mandi', 'air', 'ngalir', 'keran', 'wastafel', 'air', 'deras', 'bed', 'uk', 'cm', 'masuk', 'kamar', 'lantai', 'sinyal', 'hilang', 'total']",keran mandi air ngalir keran wastafel air deras bed uk cm masuk kamar lantai sinyal hilang total
pelayan ramah. tapi kebersihan kurang sama wifi jelek air di kamar mandi sering mati,pelayan ramah tapi kebersihan kurang sama wifi jelek air di kamar mandi sering mati,pelayan ramah tapi kebersihan kurang sama wifi jelek air di kamar mandi sering mati,"['pelayan', 'ramah', 'tapi', 'kebersihan', 'kurang', 'sama', 'wifi', 'jelek', 'air', 'di', 'kamar', 'mandi', 'sering', 'mati']","['pelayan', 'ramah', 'tapi', 'kebersihan', 'kurang', 'sama', 'wifi', 'jelek', 'air', 'di', 'kamar', 'mandi', 'sering', 'mati']","['pelayan', 'ramah', 'kebersihan', 'wifi', 'jelek', 'air', 'kamar', 'mandi', 'mati']","['layan', 'ramah', 'bersih', 'wifi', 'jelek', 'air', 'kamar', 'mandi', 'mati']",layan ramah bersih wifi jelek air kamar mandi mati
Sangat strategis tempat lokasinya. Tetapi untuk ACnya kurang dingin di kamar 202.,Sangat strategis tempat lokasinya Tetapi untuk ACnya kurang dingin di kamar,sangat strategis tempat lokasinya tetapi untuk acnya kurang dingin di kamar,"['sangat', 'strategis', 'tempat', 'lokasinya', 'tetapi', 'untuk', 'acnya', 'kurang', 'dingin', 'di', 'kamar']","['sangat', 'strategis', 'tempat', 'lokasinya', 'tetapi', 'untuk', 'acnya', 'kurang', 'dingin', 'di', 'kamar']","['strategis', 'lokasinya', 'acnya', 'dingin', 'kamar']","['strategis', 'lokasi', 'acnya', 'dingin', 'kamar']",strategis lokasi acnya dingin kamar
"Wifi lemot, tidak ada air panas, dan kamar mandi kurang bersih",Wifi lemot tidak ada air panas dan kamar mandi kurang bersih,wifi lemot tidak ada air panas dan kamar mandi kurang bersih,"['wifi', 'lemot', 'tidak', 'ada', 'air', 'panas', 'dan', 'kamar', 'mandi', 'kurang', 'bersih']","['wifi', 'lemot', 'tidak', 'ada', 'air', 'panas', 'dan', 'kamar', 'mandi', 'kurang', 'bersih']","['wifi', 'lemot', 'air', 'panas', 'kamar', 'mandi', 'bersih']","['wifi', 'lot', 'air', 'panas', 'kamar', 'mandi', 'bersih']",wifi lot air panas kamar mandi bersih
"Pengelola di lapangan tidak komunikatif, kamar mandi masih kotor (banyak kekuningan di keramik), AC kurang dingin, channel TV terbatas, pengelola lapangan jarang di tempat dan tidak ada tempat sampai namun sesuai dengan harganya 50 ribu.",Pengelola di lapangan tidak komunikatif kamar mandi masih kotor banyak kekuningan di keramik AC kurang dingin channel TV terbatas pengelola lapangan jarang di tempat dan tidak ada tempat sampai namun sesuai dengan harganya ribu,pengelola di lapangan tidak komunikatif kamar mandi masih kotor banyak kekuningan di keramik ac kurang dingin channel tv terbatas pengelola lapangan jarang di tempat dan tidak ada tempat sampai namun sesuai dengan harganya ribu,"['pengelola', 'di', 'lapangan', 'tidak', 'komunikatif', 'kamar', 'mandi', 'masih', 'kotor', 'banyak', 'kekuningan', 'di', 'keramik', 'ac', 'kurang', 'dingin', 'channel', 'tv', 'terbatas', 'pengelola', 'lapangan', 'jarang', 'di', 'tempat', 'dan', 'tidak', 'ada', 'tempat', 'sampai', 'namun', 'sesuai', 'dengan', 'harganya', 'ribu']","['pengelola', 'di', 'lapangan', 'tidak', 'komunikatif', 'kamar', 'mandi', 'masih', 'kotor', 'banyak', 'kekuningan', 'di', 'keramik', 'ac', 'kurang', 'dingin', 'channel', 'tv', 'terbatas', 'pengelola', 'lapangan', 'jarang', 'di', 'tempat', 'dan', 'tidak', 'ada', 'tempat', 'sampai', 'namun', 'sesuai', 'dengan', 'harganya', 'ribu']","['pengelola', 'lapangan', 'komunikatif', 'kamar', 'mandi', 'kotor', 'kekuningan', 'keramik', 'ac', 'dingin', 'channel', 'tv', 'terbatas', 'pengelola', 'lapangan', 'jarang', 'sesuai', 'harganya', 'ribu']","['kelola', 'lapang', 'komunikatif', 'kamar', 'mandi', 'kotor', 'kuning', 'keramik', 'ac', 'dingin', 'channel', 'tv', 'batas', 'kelola', 'lapang', 'jarang', 'sesuai', 'harga', 'ribu']",kelola lapang komunikatif kamar mandi kotor kuning keramik ac dingin channel tv batas kelola lapang jarang sesuai harga ribu
kamar dan Fasilitas baik cuman gk ada coklat bang bangnya,kamar dan Fasilitas baik cuman gk ada coklat bang bangnya,kamar dan fasilitas baik cuman gk ada coklat bang bangnya,"['kamar', 'dan', 'fasilitas', 'baik', 'cuman', 'gk', 'ada', 'coklat', 'bang', 'bangnya']","['kamar', 'dan', 'fasilitas', 'baik', 'cuman', 'gk', 'ada', 'coklat', 'bang', 'bangnya']","['kamar', 'fasilitas', 'cuman', 'gk', 'coklat', 'bang', 'bangnya']","['kamar', 'fasilitas', 'cuman', 'gk', 'coklat', 'bang', 'bang']",kamar fasilitas cuman gk coklat bang bang
"tidak sesuai ekspektasi kamar sempit,  kotor, almari baju tidak ada, kamar mandi kotor,  air kecil, air panas mati... satpam ramah... *nb: perlu perbaikan fasilitas.. ",tidak sesuai ekspektasi kamar sempit kotor almari baju tidak ada kamar mandi kotor air kecil air panas mati satpam ramah nb perlu perbaikan fasilitas,tidak sesuai ekspektasi kamar sempit kotor almari baju tidak ada kamar mandi kotor air kecil air panas mati satpam ramah nb perlu perbaikan fasilitas,"['tidak', 'sesuai', 'ekspektasi', 'kamar', 'sempit', 'kotor', 'almari', 'baju', 'tidak', 'ada', 'kamar', 'mandi', 'kotor', 'air', 'kecil', 'air', 'panas', 'mati', 'satpam', 'ramah', 'nb', 'perlu', 'perbaikan', 'fasilitas']","['tidak', 'sesuai', 'ekspektasi', 'kamar', 'sempit', 'kotor', 'almari', 'baju', 'tidak', 'ada', 'kamar', 'mandi', 'kotor', 'air', 'kecil', 'air', 'panas', 'mati', 'satpam', 'ramah', 'nb', 'perlu', 'perbaikan', 'fasilitas']","['sesuai', 'ekspektasi', 'kamar', 'sempit', 'kotor', 'almari', 'baju', 'kamar', 'mandi', 'kotor', 'air', 'air', 'panas', 'mati', 'satpam', 'ramah', 'nb', 'perbaikan', 'fasilitas']","['sesuai', 'ekspektasi', 'kamar', 'sempit', 'kotor', 'almari', 'baju', 'kamar', 'mandi', 'kotor', 'air', 'air', 'panas', 'mati', 'satpam', 'ramah', 'nb', 'baik', 'fasilitas']",sesuai ekspektasi kamar sempit kotor almari baju kamar mandi kotor air air panas mati satpam ramah nb baik fasilitas
"satpamnya ramah dan sigap, wifinya kenceng, selain snack airy set ada tambahan coklat silverqueen. tp receptionisnya ga ramah, payah banget kayak keteteran gitu, kerjanya super manual, dan penampilannya kayak emak-emak habis beberes rumah seharian",satpamnya ramah dan sigap wifinya kenceng selain snack airy set ada tambahan coklat silverqueen tp receptionisnya ga ramah payah banget kayak keteteran gitu kerjanya super manual dan penampilannya kayak emak emak habis beberes rumah seharian,satpamnya ramah dan sigap wifinya kenceng selain snack airy set ada tambahan coklat silverqueen tp receptionisnya ga ramah payah banget kayak keteteran gitu kerjanya super manual dan penampilannya kayak emak emak habis beberes rumah seharian,"['satpamnya', 'ramah', 'dan', 'sigap', 'wifinya', 'kenceng', 'selain', 'snack', 'airy', 'set', 'ada', 'tambahan', 'coklat', 'silverqueen', 'tp', 'receptionisnya', 'ga', 'ramah', 'payah', 'banget', 'kayak', 'keteteran', 'gitu', 'kerjanya', 'super', 'manual', 'dan', 'penampilannya', 'kayak', 'emak', 'emak', 'habis', 'beberes', 'rumah', 'seharian']","['satpamnya', 'ramah', 'dan', 'sigap', 'wifinya', 'kenceng', 'selain', 'snack', 'airy', 'set', 'ada', 'tambahan', 'coklat', 'silverqueen', 'tapi', 'receptionisnya', 'tidak', 'ramah', 'payah', 'banget', 'kayak', 'keteteran', 'gitu', 'kerjanya', 'super', 'manual', 'dan', 'penampilannya', 'kayak', 'emak', 'emak', 'habis', 'beberes', 'rumah', 'seharian']","['satpamnya', 'ramah', 'sigap', 'wifinya', 'kenceng', 'snack', 'airy', 'set', 'tambahan', 'coklat', 'silverqueen', 'receptionisnya', 'ramah', 'payah', 'banget', 'kayak', 'keteteran', 'gitu', 'kerjanya', 'super', 'manual', 'penampilannya', 'kayak', 'emak', 'emak', 'habis', 'beberes', 'rumah', 'seharian']","['satpam', 'ramah', 'sigap', 'wifinya', 'kenceng', 'snack', 'airy', 'set', 'tambah', 'coklat', 'silverqueen', 'receptionisnya', 'ramah', 'payah', 'banget', 'kayak', 'keteter', 'gitu', 'kerja', 'super', 'manual', 'tampil', 'kayak', 'emak', 'emak', 'habis', 'beberes', 'rumah', 'hari']",satpam ramah sigap wifinya kenceng snack airy set tambah coklat silverqueen receptionisnya ramah payah banget kayak keteter gitu kerja super manual tampil kayak emak emak habis beberes rumah hari
"tempatnya sih lumayan nyaman, ena dan tp hanya 1 yang kurang enak yaitu handuknya yang bau apek dan tdk sedap..",tempatnya sih lumayan nyaman ena dan tp hanya yang kurang enak yaitu handuknya yang bau apek dan tdk sedap,tempatnya sih lumayan nyaman ena dan tp hanya yang kurang enak yaitu handuknya yang bau apek dan tdk sedap,"['tempatnya', 'sih', 'lumayan', 'nyaman', 'ena', 'dan', 'tp', 'hanya', 'yang', 'kurang', 'enak', 'yaitu', 'handuknya', 'yang', 'bau', 'apek', 'dan', 'tdk', 'sedap']","['tempatnya', 'sih', 'lumayan', 'nyaman', 'ena', 'dan', 'tapi', 'hanya', 'yang', 'kurang', 'enak', 'yaitu', 'handuknya', 'yang', 'bau', 'apek', 'dan', 'tidak', 'sedap']","['tempatnya', 'sih', 'lumayan', 'nyaman', 'ena', 'enak', 'handuknya', 'bau', 'apek', 'sedap']","['tempat', 'sih', 'lumayan', 'nyaman', 'ena', 'enak', 'handuk', 'bau', 'apek', 'sedap']",tempat sih lumayan nyaman ena enak handuk bau apek sedap
"Cukup baik kok. Tapi, kamar yg saya dpt no window. dan handuknya kotor,huft. Selebihnya kaya ac dan air panas si oke aja.",Cukup baik kok Tapi kamar yg saya dpt no window dan handuknya kotor huft Selebihnya kaya ac dan air panas si oke aja,cukup baik kok tapi kamar yg saya dpt no window dan handuknya kotor huft selebihnya kaya ac dan air panas si oke aja,"['cukup', 'baik', 'kok', 'tapi', 'kamar', 'yg', 'saya', 'dpt', 'no', 'window', 'dan', 'handuknya', 'kotor', 'huft', 'selebihnya', 'kaya', 'ac', 'dan', 'air', 'panas', 'si', 'oke', 'aja']","['cukup', 'baik', 'kok', 'tapi', 'kamar', 'yg', 'saya', 'dpt', 'no', 'window', 'dan', 'handuknya', 'kotor', 'huft', 'selebihnya', 'kaya', 'ac', 'dan', 'air', 'panas', 'si', 'oke', 'aja']","['kamar', 'dpt', 'no', 'window', 'handuknya', 'kotor', 'huft', 'selebihnya', 'kaya', 'ac', 'air', 'panas', 'si', 'oke']","['kamar', 'dpt', 'no', 'window', 'handuk', 'kotor', 'huft', 'lebih', 'kaya', 'ac', 'air', 'panas', 'si', 'oke']",kamar dpt no window handuk kotor huft lebih kaya ac air panas si oke
Ac harus lama dulu baru dingin... Handuk 1 aja...,Ac harus lama dulu baru dingin Handuk aja,ac harus lama dulu baru dingin handuk aja,"['ac', 'harus', 'lama', 'dulu', 'baru', 'dingin', 'handuk', 'aja']","['ac', 'harus', 'lama', 'dulu', 'baru', 'dingin', 'handuk', 'aja']","['ac', 'dingin', 'handuk']","['ac', 'dingin', 'handuk']",ac dingin handuk
tv nya kurang gede + renyek semua,tv nya kurang gede renyek semua,tv nya kurang gede renyek semua,"['tv', 'nya', 'kurang', 'gede', 'renyek', 'semua']","['tv', 'nya', 'kurang', 'gede', 'renyek', 'semua']","['tv', 'nya', 'gede', 'renyek']","['tv', 'nya', 'gede', 'renyek']",tv nya gede renyek
sy lbh suka twin bed room dibanding double bed room krn lbh lengkap. wifi kamar sedang rusak. pegawai sangat ramah,sy lbh suka twin bed room dibanding double bed room krn lbh lengkap wifi kamar sedang rusak pegawai sangat ramah,sy lbh suka twin bed room dibanding double bed room krn lbh lengkap wifi kamar sedang rusak pegawai sangat ramah,"['sy', 'lbh', 'suka', 'twin', 'bed', 'room', 'dibanding', 'double', 'bed', 'room', 'krn', 'lbh', 'lengkap', 'wifi', 'kamar', 'sedang', 'rusak', 'pegawai', 'sangat', 'ramah']","['saya', 'lbh', 'suka', 'twin', 'bed', 'room', 'dibanding', 'double', 'bed', 'room', 'krn', 'lbh', 'lengkap', 'wifi', 'kamar', 'sedang', 'rusak', 'pegawai', 'sangat', 'ramah']","['lbh', 'suka', 'twin', 'bed', 'room', 'dibanding', 'double', 'bed', 'room', 'krn', 'lbh', 'lengkap', 'wifi', 'kamar', 'rusak', 'pegawai', 'ramah']","['lbh', 'suka', 'twin', 'bed', 'room', 'banding', 'double', 'bed', 'room', 'krn', 'lbh', 'lengkap', 'wifi', 'kamar', 'rusak', 'pegawai', 'ramah']",lbh suka twin bed room banding double bed room krn lbh lengkap wifi kamar rusak pegawai ramah
"Hotelnya tak nyaman karena berisik. Para staff yang tak berintelektual dari tengah malam sampai subuh teriak teriak diluar sambil menyetel TV dengan kencang. Staff hanya memikirkan kenyamanan diri sendiri dan tak memikirkan tamu yang sudah tertidur, apalgi",Hotelnya tak nyaman karena berisik Para staff yang tak berintelektual dari tengah malam sampai subuh teriak teriak diluar sambil menyetel TV dengan kencang Staff hanya memikirkan kenyamanan diri sendiri dan tak memikirkan tamu yang sudah tertidur apalgi,hotelnya tak nyaman karena berisik para staff yang tak berintelektual dari tengah malam sampai subuh teriak teriak diluar sambil menyetel tv dengan kencang staff hanya memikirkan kenyamanan diri sendiri dan tak memikirkan tamu yang sudah tertidur apalgi,"['hotelnya', 'tak', 'nyaman', 'karena', 'berisik', 'para', 'staff', 'yang', 'tak', 'berintelektual', 'dari', 'tengah', 'malam', 'sampai', 'subuh', 'teriak', 'teriak', 'diluar', 'sambil', 'menyetel', 'tv', 'dengan', 'kencang', 'staff', 'hanya', 'memikirkan', 'kenyamanan', 'diri', 'sendiri', 'dan', 'tak', 'memikirkan', 'tamu', 'yang', 'sudah', 'tertidur', 'apalgi']","['hotelnya', 'tak', 'nyaman', 'karena', 'berisik', 'para', 'staff', 'yang', 'tak', 'berintelektual', 'dari', 'tengah', 'malam', 'sampai', 'subuh', 'teriak', 'teriak', 'diluar', 'sambil', 'menyetel', 'tv', 'dengan', 'kencang', 'staff', 'hanya', 'memikirkan', 'kenyamanan', 'diri', 'sendiri', 'dan', 'tak', 'memikirkan', 'tamu', 'yang', 'sudah', 'tertidur', 'apalgi']","['hotelnya', 'nyaman', 'berisik', 'staff', 'berintelektual', 'malam', 'subuh', 'teriak', 'teriak', 'diluar', 'menyetel', 'tv', 'kencang', 'staff', 'memikirkan', 'kenyamanan', 'memikirkan', 'tamu', 'tertidur', 'apalgi']","['hotel', 'nyaman', 'berisik', 'staff', 'intelektual', 'malam', 'subuh', 'teriak', 'teriak', 'luar', 'setel', 'tv', 'kencang', 'staff', 'pikir', 'nyaman', 'pikir', 'tamu', 'tidur', 'apalgi']",hotel nyaman berisik staff intelektual malam subuh teriak teriak luar setel tv kencang staff pikir nyaman pikir tamu tidur apalgi
"Harga terjangkau tempat strategis,pas dapat kamar bau asap rokok dan pintu kamar mandi rusak",Harga terjangkau tempat strategis pas dapat kamar bau asap rokok dan pintu kamar mandi rusak,harga terjangkau tempat strategis pas dapat kamar bau asap rokok dan pintu kamar mandi rusak,"['harga', 'terjangkau', 'tempat', 'strategis', 'pas', 'dapat', 'kamar', 'bau', 'asap', 'rokok', 'dan', 'pintu', 'kamar', 'mandi', 'rusak']","['harga', 'terjangkau', 'tempat', 'strategis', 'pas', 'dapat', 'kamar', 'bau', 'asap', 'rokok', 'dan', 'pintu', 'kamar', 'mandi', 'rusak']","['harga', 'terjangkau', 'strategis', 'pas', 'kamar', 'bau', 'asap', 'rokok', 'pintu', 'kamar', 'mandi', 'rusak']","['harga', 'jangkau', 'strategis', 'pas', 'kamar', 'bau', 'asap', 'rokok', 'pintu', 'kamar', 'mandi', 'rusak']",harga jangkau strategis pas kamar bau asap rokok pintu kamar mandi rusak
kurang bersih kamar mandinya... seprei dan selimutnya jg wrnanya sdh lusuh...,kurang bersih kamar mandinya seprei dan selimutnya jg wrnanya sdh lusuh,kurang bersih kamar mandinya seprei dan selimutnya jg wrnanya sdh lusuh,"['kurang', 'bersih', 'kamar', 'mandinya', 'seprei', 'dan', 'selimutnya', 'jg', 'wrnanya', 'sdh', 'lusuh']","['kurang', 'bersih', 'kamar', 'mandinya', 'seprei', 'dan', 'selimutnya', 'juga', 'wrnanya', 'sdh', 'lusuh']","['bersih', 'kamar', 'mandinya', 'seprei', 'selimutnya', 'wrnanya', 'lusuh']","['bersih', 'kamar', 'mandi', 'seprei', 'selimut', 'wrnanya', 'lusuh']",bersih kamar mandi seprei selimut wrnanya lusuh
cs ga selalu ada. jd ga bisa minta cemilan. lalu kemaren katanya ada handuk kalau ngak slh. tp ga d kasih. sabun mandi pas habis d akhir saya check out tv tidak bisa d tontoj,cs ga selalu ada jd ga bisa minta cemilan lalu kemaren katanya ada handuk kalau ngak slh tp ga d kasih sabun mandi pas habis d akhir saya check out tv tidak bisa d tontoj,cs ga selalu ada jd ga bisa minta cemilan lalu kemaren katanya ada handuk kalau ngak slh tp ga d kasih sabun mandi pas habis d akhir saya check out tv tidak bisa d tontoj,"['cs', 'ga', 'selalu', 'ada', 'jd', 'ga', 'bisa', 'minta', 'cemilan', 'lalu', 'kemaren', 'katanya', 'ada', 'handuk', 'kalau', 'ngak', 'slh', 'tp', 'ga', 'd', 'kasih', 'sabun', 'mandi', 'pas', 'habis', 'd', 'akhir', 'saya', 'check', 'out', 'tv', 'tidak', 'bisa', 'd', 'tontoj']","['cs', 'tidak', 'selalu', 'ada', 'jd', 'tidak', 'bisa', 'minta', 'cemilan', 'lalu', 'kemaren', 'katanya', 'ada', 'handuk', 'kalau', 'ngak', 'slh', 'tapi', 'tidak', 'd', 'kasih', 'sabun', 'mandi', 'pas', 'habis', 'd', 'akhir', 'saya', 'check', 'out', 'tv', 'tidak', 'bisa', 'd', 'tontoj']","['cs', 'jd', 'cemilan', 'kemaren', 'handuk', 'ngak', 'slh', 'd', 'kasih', 'sabun', 'mandi', 'pas', 'habis', 'd', 'check', 'out', 'tv', 'd', 'tontoj']","['cs', 'jd', 'cemilan', 'kemaren', 'handuk', 'ngak', 'slh', 'd', 'kasih', 'sabun', 'mandi', 'pas', 'habis', 'd', 'check', 'out', 'tv', 'd', 'tontoj']",cs jd cemilan kemaren handuk ngak slh d kasih sabun mandi pas habis d check out tv d tontoj
Air panas di kamar mandi tidak bisa digunakan. Air tandon di kloset tidak bisa digunakan sehingga menyiram kloset dengan cara manual. Pintu kamar mandi tidak bisa di tutup rapat. Kamar mandi kurang bersih.,Air panas di kamar mandi tidak bisa digunakan Air tandon di kloset tidak bisa digunakan sehingga menyiram kloset dengan cara manual Pintu kamar mandi tidak bisa di tutup rapat Kamar mandi kurang bersih,air panas di kamar mandi tidak bisa digunakan air tandon di kloset tidak bisa digunakan sehingga menyiram kloset dengan cara manual pintu kamar mandi tidak bisa di tutup rapat kamar mandi kurang bersih,"['air', 'panas', 'di', 'kamar', 'mandi', 'tidak', 'bisa', 'digunakan', 'air', 'tandon', 'di', 'kloset', 'tidak', 'bisa', 'digunakan', 'sehingga', 'menyiram', 'kloset', 'dengan', 'cara', 'manual', 'pintu', 'kamar', 'mandi', 'tidak', 'bisa', 'di', 'tutup', 'rapat', 'kamar', 'mandi', 'kurang', 'bersih']","['air', 'panas', 'di', 'kamar', 'mandi', 'tidak', 'bisa', 'digunakan', 'air', 'tandon', 'di', 'kloset', 'tidak', 'bisa', 'digunakan', 'sehingga', 'menyiram', 'kloset', 'dengan', 'cara', 'manual', 'pintu', 'kamar', 'mandi', 'tidak', 'bisa', 'di', 'tutup', 'rapat', 'kamar', 'mandi', 'kurang', 'bersih']","['air', 'panas', 'kamar', 'mandi', 'air', 'tandon', 'kloset', 'menyiram', 'kloset', 'manual', 'pintu', 'kamar', 'mandi', 'tutup', 'rapat', 'kamar', 'mandi', 'bersih']","['air', 'panas', 'kamar', 'mandi', 'air', 'tandon', 'kloset', 'siram', 'kloset', 'manual', 'pintu', 'kamar', 'mandi', 'tutup', 'rapat', 'kamar', 'mandi', 'bersih']",air panas kamar mandi air tandon kloset siram kloset manual pintu kamar mandi tutup rapat kamar mandi bersih
"kamar bersih walau hotel lama,wifi parah,makanan tidak ada variasi tapi rasa oke.posisi yang strategis kemana2",kamar bersih walau hotel lama wifi parah makanan tidak ada variasi tapi rasa oke posisi yang strategis kemana,kamar bersih walau hotel lama wifi parah makanan tidak ada variasi tapi rasa oke posisi yang strategis kemana,"['kamar', 'bersih', 'walau', 'hotel', 'lama', 'wifi', 'parah', 'makanan', 'tidak', 'ada', 'variasi', 'tapi', 'rasa', 'oke', 'posisi', 'yang', 'strategis', 'kemana']","['kamar', 'bersih', 'walau', 'hotel', 'lama', 'wifi', 'parah', 'makanan', 'tidak', 'ada', 'variasi', 'tapi', 'rasa', 'oke', 'posisi', 'yang', 'strategis', 'kemana']","['kamar', 'bersih', 'hotel', 'wifi', 'parah', 'makanan', 'variasi', 'oke', 'posisi', 'strategis', 'kemana']","['kamar', 'bersih', 'hotel', 'wifi', 'parah', 'makan', 'variasi', 'oke', 'posisi', 'strategis', 'mana']",kamar bersih hotel wifi parah makan variasi oke posisi strategis mana
"ruangnya terkesan sempit, airy hanya dapat kamar di lt 1, tidak ada jendela, tidak ada hot shower. ruko yg dijadikan hotel jadi agak boring aja dikamar terus tidak bs melihat situasi luar kamar. pelayanannya baik, wifi kencang, air mineral dr air galon (isi sendiri). hotelnya harusnya masuk ke eco bukan standard.",ruangnya terkesan sempit airy hanya dapat kamar di lt tidak ada jendela tidak ada hot shower ruko yg dijadikan hotel jadi agak boring aja dikamar terus tidak bs melihat situasi luar kamar pelayanannya baik wifi kencang air mineral dr air galon isi sendiri hotelnya harusnya masuk ke eco bukan standard,ruangnya terkesan sempit airy hanya dapat kamar di lt tidak ada jendela tidak ada hot shower ruko yg dijadikan hotel jadi agak boring aja dikamar terus tidak bs melihat situasi luar kamar pelayanannya baik wifi kencang air mineral dr air galon isi sendiri hotelnya harusnya masuk ke eco bukan standard,"['ruangnya', 'terkesan', 'sempit', 'airy', 'hanya', 'dapat', 'kamar', 'di', 'lt', 'tidak', 'ada', 'jendela', 'tidak', 'ada', 'hot', 'shower', 'ruko', 'yg', 'dijadikan', 'hotel', 'jadi', 'agak', 'boring', 'aja', 'dikamar', 'terus', 'tidak', 'bs', 'melihat', 'situasi', 'luar', 'kamar', 'pelayanannya', 'baik', 'wifi', 'kencang', 'air', 'mineral', 'dr', 'air', 'galon', 'isi', 'sendiri', 'hotelnya', 'harusnya', 'masuk', 'ke', 'eco', 'bukan', 'standard']","['ruangnya', 'terkesan', 'sempit', 'airy', 'hanya', 'dapat', 'kamar', 'di', 'lt', 'tidak', 'ada', 'jendela', 'tidak', 'ada', 'hot', 'shower', 'ruko', 'yg', 'dijadikan', 'hotel', 'jadi', 'agak', 'boring', 'aja', 'dikamar', 'terus', 'tidak', 'bs', 'melihat', 'situasi', 'luar', 'kamar', 'pelayanannya', 'baik', 'wifi', 'kencang', 'air', 'mineral', 'dr', 'air', 'galon', 'isi', 'sendiri', 'hotelnya', 'harusnya', 'masuk', 'ke', 'eco', 'bukan', 'standard']","['ruangnya', 'terkesan', 'sempit', 'airy', 'kamar', 'lt', 'jendela', 'hot', 'shower', 'ruko', 'dijadikan', 'hotel', 'boring', 'dikamar', 'bs', 'situasi', 'kamar', 'pelayanannya', 'wifi', 'kencang', 'air', 'mineral', 'dr', 'air', 'galon', 'isi', 'hotelnya', 'masuk', 'eco', 'standard']","['ruang', 'kes', 'sempit', 'airy', 'kamar', 'lt', 'jendela', 'hot', 'shower', 'ruko', 'jadi', 'hotel', 'boring', 'kamar', 'bs', 'situasi', 'kamar', 'layan', 'wifi', 'kencang', 'air', 'mineral', 'dr', 'air', 'galon', 'isi', 'hotel', 'masuk', 'eco', 'standard']",ruang kes sempit airy kamar lt jendela hot shower ruko jadi hotel boring kamar bs situasi kamar layan wifi kencang air mineral dr air galon isi hotel masuk eco standard
